@relation grp
@attribute cus1 numeric
@attribute cus2 numeric
@attribute cus3 numeric
@attribute cus4 numeric
@attribute cus5 numeric
@attribute cus6 numeric
@attribute cus7 numeric
@attribute cus8 numeric
@attribute cus9 numeric
@attribute cus10 numeric
@attribute cus11 numeric
@attribute cus12 numeric
@attribute cus13 numeric
@attribute cus14 numeric
@attribute cus15 numeric
@attribute cus16 numeric
@attribute cus17 numeric
@attribute cus18 numeric
@attribute cus19 numeric
@attribute cus20 numeric
@attribute crps numeric
@attribute wv45 numeric
@data
0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0.0123215099750695,2.80628386562393
0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0.0340619863841017,2.78174687839472
0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0.0299010302766563,3.008428634736
1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0.0183940868332354,2.98027857749286
0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0.0313055732581132,3.31758848158869
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0.0299897165731132,3.15759405356942
1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0.0424201284417086,3.2380421389277
1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0.0431920089570789,2.81746215358476
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.0349941336274381,3.66228209092383
0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0.0251636028760214,2.64144652989971
1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0.0177270387237961,3.03524198676161
1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0.0464530447471247,3.3072345073541
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.0308704454291745,4.03228477290422
1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0.0409409308011037,3.56179879091184
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0321494016049519,4.15077630002027
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0314292134637841,4.26759941474125
1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0.0400512800673267,3.49654618240272
1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0380045685801476,3.86935686972985
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0.0279488328030207,3.70726470467285
1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0.0448917980387672,3.55590368931223
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0314901409447598,4.26882061331695
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0.03909372990148,3.28058598429517
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.0341288560747265,3.78090842845303
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0.0230425557842278,3.69643378073044
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.0337035453378378,4.2094431654905
1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.0339933038338717,3.30543550999213
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0.030157145861112,3.87242327275053
1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0.019515724352942,3.85847822370311
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0361459653760656,3.83208359813676
1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.0413520645906527,3.39813501971031
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.0311445829629453,4.02709240322756
1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0.029876270137699,3.57637653556696
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0311400750478232,4.2760330612808
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.0343467484955252,3.97076601286696
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0361584307285299,4.11659924157712
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0309312063634627,4.28011874913304
1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.0308952717161775,3.33154366684072
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.0283051707164913,4.1530611395652
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0314926189695074,4.26732484996081
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0357031237916266,3.95518609189645
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.0303425933970971,4.03944725235984
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0357759958099509,4.12361768477818
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0318788613948931,4.26245234960342
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0336448438718185,4.02451716279457
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0325068748056287,4.02839961720006
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0313646885713347,4.27074256678004
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0348496157566663,3.97354435766436
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0315468737685528,4.26651344956488
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0314727743390642,4.26893945478908
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0324958288736242,3.84171436277488
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.035469866759048,4.12881320641368
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0312610400822053,4.27181623801103
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000600871878192959,0.00313184392762042
0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0.00526415485280479,0.243528348238505
0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0.0113450926371322,0.545035807380315
1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0.00690370008002355,0.975390966261455
1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0.0115393598511379,1.67254765392433
1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0.00956191155519722,2.41264511759496
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0.0127768994782796,3.08707682992401
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.0164262483591393,3.80274750902238
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.00358313760775311,0.0468880909857104
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.00592753354877639,0.220825989351782
1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0.005484192201056,0.459419684415114
1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0.0109565442943848,1.03432483886368
1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0.0128577585139246,1.22742467447642
1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0.00877604335294529,1.88184448008142
1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0.0146725787249068,2.64444219129343
1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.0219084565110289,3.62633224398413
